diff,y,v_learning,weekly_poll,pre_survey,points,email_indicator,out_of_office
-1.366666667,1.47,1.47,1.67,2.99,3.9412024,0,1
0.11,0,0,1.67,2.99,3.2850504,0,1
0.126666667,0,0,4.28,2.99,0.7679229,0,0
0.106666667,0,0,4.28,2.99,1.7847717,0,0
-72.55333,78.62,78.62,4.28,2.99,1.9823246,0,0
-44.56998667,76.11,76.11,4.28,2.99,2.0476518,0,0
-55.86666667,61.72,61.72,4.28,2.99,2.2862341,0,0
-41.39333333,65.18,65.18,4.28,2.99,0.14449263,0,0
-17.1367,26.38,26.38,4.28,2.99,0.35882425,0,0
-49.3833,88.32,88.32,4.28,2.99,8.449842,0,0
-43.0767,69.27,69.27,4.28,2.99,2.7951655,0,0
-19.63996667,52.8,52.8,4.28,2.99,5.1707916,0,0
0.086666667,0,0,4.28,2.99,1.0171053,0,0
0.086666667,0,0,4.28,2.99,3.843413,0,0
-66.44,67.02,67.02,4.28,2.99,2.7862592,0,0
39.82666667,0,0,4.28,2.99,8.7584,0,0
-40.84666667,72.98,72.98,4.28,2.99,0.19341803,0,0
32.37333333,0.57,0.57,4.28,2.99,0.62842464,0,0
-44.25666667,76.93,76.93,4.28,2.99,0.25686502,0,0
-34.59666667,65.71,65.71,4.28,2.99,6.0494237,0,0
-36.94333333,72.84,72.84,4.28,2.99,2.969158,0,0
12.54333333,30.81,30.81,4.28,2.99,6.308549,0,0
