0,y,v_learning,weekly_poll,pre_survey,points,email_indicator,out_of_office
0.10333333333333332,0.0,0.0,0.95,2.99,,0.0,1.0
0.04333333333333332,0.06,0.06,0.95,2.99,,0.0,1.0
0.1066666666666667,0.0,0.0,0.95,2.99,,0.0,1.0
0.04999999999999995,0.08000000000000003,0.08000000000000003,0.95,2.99,,0.0,1.0
0.08666666666666671,0.01999999999999999,0.01999999999999999,0.95,2.99,,0.0,1.0
0.13333333333333336,0.0,0.0,0.95,2.99,,0.0,1.0
0.1299999999999999,0.0,0.0,0.95,2.99,3.6163607,0.0,1.0
0.10333333333333336,0.0,0.0,0.95,2.99,4.746271,0.0,1.0
0.10333333333333336,0.0,0.0,0.95,2.99,9.246258,0.0,1.0
0.10333333333333336,0.0,0.0,0.95,2.99,4.314837,0.0,1.0
0.11000000000000004,0.0,0.0,0.95,2.99,6.2204247,0.0,1.0
0.10666666666666676,0.0,0.0,0.95,2.99,0.05206776,0.0,1.0
0.0,0.0,0.0,0.95,2.99,6.9676967,0.0,1.0
0.2066666666666667,0.0,0.0,0.95,2.99,5.704476,0.0,1.0
0.10999999999999988,0.0,0.0,0.95,2.99,0.35718155,0.0,1.0
0.11000000000000004,0.0,0.0,0.95,2.99,7.8681154,0.0,1.0
0.08333333333333323,0.01999999999999999,0.01999999999999999,0.95,2.99,,0.0,1.0
0.2100000000000002,0.0,0.0,0.95,2.99,,0.0,1.0
0.08666666666666645,0.02000000000000001,0.02000000000000001,0.95,2.99,,0.0,1.0
0.10666666666666676,0.0,0.0,0.95,2.99,,0.0,1.0
0.0700000000000002,0.06,0.06,0.95,2.99,,0.0,1.0
0.10999999999999988,0.0,0.0,0.95,2.99,,0.0,1.0
0.0,0.0,0.0,1.67,2.99,,0.0,1.0
0.10666666666666667,0.0,0.0,1.67,2.99,,0.0,1.0
0.10333333333333332,0.0,0.0,1.67,2.99,,0.0,1.0
0.10333333333333332,0.0,0.0,1.67,2.99,,0.0,1.0
0.10333333333333336,0.0,0.0,1.67,2.99,,0.0,1.0
0.10333333333333336,0.0,0.0,1.67,2.99,,0.0,1.0
0.1133333333333333,0.02,0.02,1.67,2.99,,0.0,1.0
0.10666666666666663,0.0,0.0,1.67,2.99,,0.0,1.0
0.12666666666666676,0.0,0.0,1.67,2.99,9.253578,0.0,1.0
0.10666666666666663,0.0,0.0,1.67,2.99,6.5477886,0.0,1.0
4.213336666666667,1.39,1.39,1.67,2.99,0.6694937,0.0,1.0
30.34001333333334,0.9000000000000001,0.9000000000000001,1.67,2.99,4.827816,0.0,1.0
4.81,0.7999999999999998,0.7999999999999998,1.67,2.99,9.856457,0.0,1.0
25.85666666666665,0.0,0.0,1.67,2.99,6.31635,0.0,1.0
25.403300000000005,1.5900000000000003,1.5900000000000003,1.67,2.99,3.5926747,0.0,1.0
46.95003333333333,0.7999999999999998,0.7999999999999998,1.67,2.99,3.0537384,0.0,1.0
26.756633333333333,0.8200000000000003,0.8200000000000003,1.67,2.99,6.286992,0.0,1.0
32.04003333333334,0.8399999999999999,0.8399999999999999,1.67,2.99,7.6486173,0.0,1.0
56.63999999999999,0.0,0.0,1.67,2.99,,0.0,1.0
25.90666666666668,0.8399999999999999,0.8399999999999999,1.67,2.99,,0.0,1.0
-0.6033343333333286,0.6100009999999987,0.6100009999999987,1.67,2.99,,0.0,1.0
-0.2599990000000005,0.2599990000000005,0.2599990000000005,1.67,2.99,,0.0,1.0
0.02330000000000609,0.0,0.0,1.67,2.99,,0.0,1.0
0.0,0.0,0.0,1.67,2.99,,0.0,1.0
0.0,0.0,0.0,1.67,2.99,,0.0,1.0
0.0,0.0,,1.67,2.99,,0.0,1.0
0.0,0.0,0.0,1.67,2.99,,0.0,1.0
0.006666666666666667,0.0,0.0,1.67,2.99,,0.0,1.0
0.006666666666666667,0.0,0.0,1.67,2.99,,0.0,1.0
0.0,0.0,0.0,1.67,2.99,,0.0,1.0
0.11666666666666665,0.0,0.0,1.67,2.99,,0.0,1.0
0.0,0.0,0.0,1.67,2.99,,0.0,1.0
0.08666666666666667,0.0,0.0,1.67,2.99,8.792354,0.0,1.0
-0.16999999999999998,0.26,0.26,1.67,2.99,0.20265245,0.0,1.0
16.55666666666667,0.0,0.0,1.67,2.99,0.70802593,0.0,1.0
54.106666666666676,0.0,0.0,1.67,2.99,4.790443,0.0,1.0
35.80333333333333,0.0,0.0,1.67,2.99,0.9001155,0.0,1.0
32.86333333333333,0.06,0.06,1.67,2.99,6.8625956,0.0,1.0
35.06000000000001,0.0,0.0,1.67,2.99,6.2176523,0.0,1.0
39.03999999999999,0.0,0.0,1.67,2.99,0.40054846,0.0,1.0
67.29,0.0,0.0,1.67,2.99,9.867182,0.0,1.0
54.776666666666664,0.0,0.0,1.67,2.99,7.955681,0.0,1.0
56.26666666666669,0.0,0.0,1.67,2.99,,0.0,1.0
28.356666666666666,0.0,0.0,1.67,2.99,,0.0,1.0
0.18000000000000682,0.0,0.0,1.67,2.99,,0.0,1.0
0.0,0.0,0.0,1.67,2.99,,0.0,1.0
0.17666666666665756,0.0,0.0,1.67,2.99,,0.0,1.0
0.0,0.0,0.0,1.67,2.99,,0.0,1.0
0.0,0.0,0.0,1.67,2.99,,0.0,0.0
0.02666666666666667,0.0,0.0,1.67,2.99,,0.0,0.0
0.0,0.0,0.0,1.67,2.99,,0.0,0.0
0.0,0.0,0.0,1.67,2.99,,0.0,0.0
0.0,0.0,0.0,1.67,2.99,,0.0,0.0
0.09000000000000001,0.0,0.0,1.67,2.99,,0.0,0.0
0.020000000000000004,0.0,0.0,1.67,2.99,,0.0,0.0
0.0,0.0,0.0,1.67,2.99,,0.0,0.0
0.0,0.0,0.0,1.67,2.99,4.592928,0.0,0.0
0.0,0.0,0.0,1.67,2.99,1.1790421,0.0,0.0
32.76,0.0,0.0,1.67,2.99,2.9590197,0.0,0.0
-98.80666666666669,140.99,140.99,1.67,2.99,1.7423401,0.0,0.0
-33.79999999999999,68.13,68.13,1.67,2.99,4.666456,0.0,0.0
-36.690000000000026,37.43000000000001,37.43000000000001,1.67,2.99,5.640857,1.0,0.0
-0.26999999999996405,28.339999999999968,28.339999999999968,1.67,2.99,0.4760542,0.0,0.0
-65.39333333333337,88.66000000000004,88.66000000000004,1.67,2.99,0.06023693,0.0,0.0
-41.40000000000001,64.32,64.32,1.67,2.99,2.185724,0.0,0.0
-12.393333333333338,29.61000000000001,29.61000000000001,1.67,2.99,0.02094936,0.0,0.0
32.083333333333336,0.25,0.25,1.67,2.99,,0.0,0.0
15.82333333333334,0.9399999999999976,0.9399999999999976,1.67,2.99,,0.0,0.0
5.156666666666657,0.0,0.0,1.67,2.99,,0.0,0.0
0.4000000000000152,0.0,0.0,1.67,2.99,,0.0,0.0
0.4033333333333265,0.0,0.0,1.67,2.99,,0.0,0.0
0.4100000000000061,0.07999999999998407,0.07999999999998407,1.67,2.99,,0.0,0.0
0.0,0.0,0.0,1.67,2.99,,0.0,1.0
0.32,0.0,0.0,1.67,2.99,,0.0,1.0
0.59,0.0,0.0,1.67,2.99,,0.0,1.0
0.4233333333333333,0.0,0.0,1.67,2.99,,0.0,1.0
0.40666666666666657,0.0,0.0,1.67,2.99,,0.0,1.0
0.43000000000000016,0.0,0.0,1.67,2.99,,0.0,1.0
0.43,0.0,0.0,1.67,2.99,,0.0,1.0
0.4066666666666665,0.0,0.0,1.67,2.99,,0.0,1.0
0.4233330000000007,0.0,0.0,1.67,2.99,2.693306,0.0,1.0
0.4300003333333329,0.0,0.0,1.67,2.99,1.2137556,0.0,1.0
36.20333333333333,1.42,1.42,1.67,2.99,0.79517555,0.0,1.0
68.30333333333333,0.8700000000000001,0.8700000000000001,1.67,2.99,2.2389362,0.0,1.0
53.37666666666667,0.7799999999999998,0.7799999999999998,1.67,2.99,3.7603886,0.0,1.0
24.60666666666667,0.0,0.0,1.67,2.99,5.1229606,0.0,1.0
43.33999999999999,1.5800000000000003,1.5800000000000003,1.67,2.99,1.2674031,0.0,1.0
50.57000000000002,0.0,0.0,1.67,2.99,5.10636,0.0,1.0
30.87,1.63,1.63,1.67,2.99,3.8071656,0.0,1.0
16.893333333333313,0.01999999999999957,0.01999999999999957,1.67,2.99,6.1181192,0.0,1.0
56.29000000000002,1.0200000000000005,1.0200000000000005,1.67,2.99,,0.0,1.0
25.723333333333343,1.0999999999999996,1.0999999999999996,1.67,2.99,,0.0,1.0
8.076666666666654,0.0,0.0,1.67,2.99,,0.0,1.0
0.1099999999999947,0.0,0.0,1.67,2.99,,0.0,1.0
0.1099999999999947,0.0,0.0,1.67,2.99,,0.0,1.0
0.1333333333333447,0.0,0.0,1.67,2.99,,0.0,1.0
0.0,0.0,0.0,1.67,2.99,,0.0,0.0
0.0,0.0,0.0,1.67,2.99,,0.0,0.0
0.04666666666666668,0.08,0.08,1.67,2.99,,0.0,0.0
0.11000000000000004,0.0,0.0,1.67,2.99,,0.0,0.0
0.12999999999999995,0.0,0.0,1.67,2.99,,0.0,0.0
0.1066666666666667,0.0,0.0,1.67,2.99,,0.0,0.0
0.1266666666666667,0.0,0.0,1.67,2.99,,0.0,0.0
0.10666666666666663,0.0,0.0,1.67,2.99,,0.0,0.0
0.1300000000000001,0.0,0.0,1.67,2.99,2.3401985,0.0,0.0
0.13999999999999993,0.0,0.0,1.67,2.99,0.1399951,0.0,0.0
34.916666666666664,1.36,1.36,1.67,2.99,0.9903803,0.0,0.0
28.27000333333333,0.02000000000000001,0.02000000000000001,1.67,2.99,7.044709,0.0,0.0
29.73999666666667,1.58,1.58,1.67,2.99,1.6946344,0.0,0.0
-4.896666666666672,6.0900000000000025,6.0900000000000025,1.67,2.99,2.6222963,0.0,0.0
6.976666666666679,0.0,0.0,1.67,2.99,4.799733,0.0,0.0
-43.35666666666667,47.62,47.62,1.67,2.99,7.5121965,0.0,0.0
-136.39333333333332,136.66,136.66,1.67,2.99,8.794069,0.0,0.0
-82.5266666666667,83.19000000000003,83.19000000000003,1.67,2.99,6.490289,0.0,0.0
-80.28999999999998,80.63,80.63,1.67,2.99,,0.0,0.0
0.2366666666666669,0.0,0.0,1.67,2.99,,0.0,0.0
-39.42999999999999,39.69999999999999,39.69999999999999,1.67,2.99,,0.0,0.0
0.10666666666666676,0.0,0.0,1.67,2.99,,0.0,0.0
0.10666666666666676,0.0,0.0,1.67,2.99,,0.0,0.0
0.10999999999999943,0.0,0.0,1.67,2.99,,0.0,0.0
0.0,0.0,0.0,1.67,2.99,,0.0,0.0
0.11,0.0,0.0,1.67,2.99,,0.0,0.0
0.10666666666666667,0.0,0.0,1.67,2.99,,0.0,0.0
