hour,iteration,timestamp,reward,actions,price_signal
0,1,2012-01-03,-16.99200684975383,0.052398838,0.30153157102760997
1,1,2012-01-03,-16.99200684975383,0.0002590898,0.28079231947239003
2,1,2012-01-03,-16.99200684975383,0.07482885,0.27852277747239
3,1,2012-01-03,-16.99200684975383,0.0,0.27806721247238997
4,1,2012-01-03,-16.99200684975383,0.0008539023,0.28124719425
5,1,2012-01-03,-16.99200684975383,0.035010826,0.26641372177760997
6,1,2012-01-03,-16.99200684975383,0.0009522729,0.26459629349999997
7,1,2012-01-03,-16.99200684975383,0.13832508,0.26323512052761
8,1,2012-01-03,-16.99200684975383,0.0,1.001785146
9,1,2012-01-03,-16.99200684975383,0.0,0.4773649300322999
10,1,2012-01-03,-16.99200684975383,0.28933918,0.39492127949999994
11,1,2012-01-03,-16.99200684975383,0.0,1.195577232177
12,1,2012-01-03,-16.99200684975383,0.37611395,-0.019207518000000093
13,1,2012-01-03,-16.99200684975383,0.0014726071,0.44522610732299994
14,1,2012-01-03,-16.99200684975383,0.15941013,1.0495440871769999
15,1,2012-01-03,-16.99200684975383,0.0,0.8295578311770001
16,1,2012-01-03,-16.99200684975383,0.31433702,1.257110993823
17,1,2012-01-03,-16.99200684975383,0.0014221197,1.45908144
18,1,2012-01-03,-16.99200684975383,0.0,1.436414914677
19,1,2012-01-03,-16.99200684975383,0.27974716,1.429951684677
20,1,2012-01-03,-16.99200684975383,0.00012402884,1.3732837574999999
21,1,2012-01-03,-16.99200684975383,0.0,1.1478464054739
22,1,2012-01-03,-16.99200684975383,0.0,0.9364573432500001
23,1,2012-01-03,-16.99200684975383,0.0,0.38206165799999997
0,2,2012-01-04,-18.028190157633095,0.026054733,0.30153157102760997
1,2,2012-01-04,-18.028190157633095,0.0,0.28079231947239003
2,2,2012-01-04,-18.028190157633095,0.0031905854,0.27852277747239
3,2,2012-01-04,-18.028190157633095,0.00030706223,0.27806721247238997
4,2,2012-01-04,-18.028190157633095,0.00068589597,0.28124719425
5,2,2012-01-04,-18.028190157633095,0.038863447,0.26641372177760997
6,2,2012-01-04,-18.028190157633095,0.0,0.26459629349999997
7,2,2012-01-04,-18.028190157633095,0.07889414,0.26323512052761
8,2,2012-01-04,-18.028190157633095,0.0,1.001785146
9,2,2012-01-04,-18.028190157633095,0.00048074758,0.4773649300322999
10,2,2012-01-04,-18.028190157633095,0.33770552,0.39492127949999994
11,2,2012-01-04,-18.028190157633095,0.0009907034,1.195577232177
12,2,2012-01-04,-18.028190157633095,0.3961036,-0.019207518000000093
13,2,2012-01-04,-18.028190157633095,0.0016688999,0.44522610732299994
14,2,2012-01-04,-18.028190157633095,0.07878398,1.0495440871769999
15,2,2012-01-04,-18.028190157633095,0.00049306516,0.8295578311770001
16,2,2012-01-04,-18.028190157633095,0.3488846,1.257110993823
17,2,2012-01-04,-18.028190157633095,9.924517e-05,1.45908144
18,2,2012-01-04,-18.028190157633095,0.0001593806,1.436414914677
19,2,2012-01-04,-18.028190157633095,0.24533364,1.429951684677
20,2,2012-01-04,-18.028190157633095,0.0,1.3732837574999999
21,2,2012-01-04,-18.028190157633095,0.0,1.1478464054739
22,2,2012-01-04,-18.028190157633095,0.0,0.9364573432500001
23,2,2012-01-04,-18.028190157633095,0.0,0.38206165799999997
0,3,2012-01-05,-18.027481659378015,0.040504597,0.30153157102760997
1,3,2012-01-05,-18.027481659378015,0.0,0.28079231947239003
2,3,2012-01-05,-18.027481659378015,0.00063252257,0.27852277747239
3,3,2012-01-05,-18.027481659378015,0.0,0.27806721247238997
4,3,2012-01-05,-18.027481659378015,0.00069084344,0.28124719425
5,3,2012-01-05,-18.027481659378015,0.047103353,0.26641372177760997
6,3,2012-01-05,-18.027481659378015,7.352313e-05,0.26459629349999997
7,3,2012-01-05,-18.027481659378015,0.0026093002,0.26323512052761
8,3,2012-01-05,-18.027481659378015,0.00100242,1.001785146
9,3,2012-01-05,-18.027481659378015,0.0,0.4773649300322999
10,3,2012-01-05,-18.027481659378015,0.34774572,0.39492127949999994
11,3,2012-01-05,-18.027481659378015,0.0009945717,1.195577232177
12,3,2012-01-05,-18.027481659378015,0.40837285,-0.019207518000000093
13,3,2012-01-05,-18.027481659378015,0.00023045877,0.44522610732299994
14,3,2012-01-05,-18.027481659378015,0.00052615476,1.0495440871769999
15,3,2012-01-05,-18.027481659378015,0.0017252873,0.8295578311770001
16,3,2012-01-05,-18.027481659378015,0.4061528,1.257110993823
17,3,2012-01-05,-18.027481659378015,0.0,1.45908144
18,3,2012-01-05,-18.027481659378015,0.0010893735,1.436414914677
19,3,2012-01-05,-18.027481659378015,0.22443286,1.429951684677
20,3,2012-01-05,-18.027481659378015,0.0,1.3732837574999999
21,3,2012-01-05,-18.027481659378015,0.0,1.1478464054739
22,3,2012-01-05,-18.027481659378015,0.0,0.9364573432500001
23,3,2012-01-05,-18.027481659378015,0.0,0.38206165799999997
0,4,2012-01-06,-18.028190157633095,0.018391715,0.30153157102760997
1,4,2012-01-06,-18.028190157633095,0.00083578273,0.28079231947239003
2,4,2012-01-06,-18.028190157633095,0.00050257205,0.27852277747239
3,4,2012-01-06,-18.028190157633095,0.0,0.27806721247238997
4,4,2012-01-06,-18.028190157633095,0.00053581916,0.28124719425
5,4,2012-01-06,-18.028190157633095,0.0,0.26641372177760997
6,4,2012-01-06,-18.028190157633095,0.0,0.26459629349999997
7,4,2012-01-06,-18.028190157633095,0.025106682,0.26323512052761
8,4,2012-01-06,-18.028190157633095,0.0,1.001785146
