hour,iteration,timestamp,reward,actions,price_signal
0,1,2012-01-03,-16.55757229702937,0.03721007,0.30153157102760997
1,1,2012-01-03,-16.55757229702937,0.0,0.28079231947239003
2,1,2012-01-03,-16.55757229702937,0.16326192,0.27852277747239
3,1,2012-01-03,-16.55757229702937,0.08759,0.27806721247238997
4,1,2012-01-03,-16.55757229702937,0.24839903,0.28124719425
5,1,2012-01-03,-16.55757229702937,0.0014040876,0.26641372177760997
6,1,2012-01-03,-16.55757229702937,0.0,0.26459629349999997
7,1,2012-01-03,-16.55757229702937,0.229698,0.26323512052761
8,1,2012-01-03,-16.55757229702937,0.0007012441,1.001785146
9,1,2012-01-03,-16.55757229702937,0.061610244,0.4773649300322999
10,1,2012-01-03,-16.55757229702937,0.2184517,0.39492127949999994
11,1,2012-01-03,-16.55757229702937,0.14376667,1.195577232177
12,1,2012-01-03,-16.55757229702937,0.002624845,-0.019207518000000093
13,1,2012-01-03,-16.55757229702937,0.0,0.44522610732299994
14,1,2012-01-03,-16.55757229702937,0.0007213047,1.0495440871769999
15,1,2012-01-03,-16.55757229702937,0.0,0.8295578311770001
16,1,2012-01-03,-16.55757229702937,0.00083755783,1.257110993823
17,1,2012-01-03,-16.55757229702937,0.0005727018,1.45908144
18,1,2012-01-03,-16.55757229702937,0.3009258,1.436414914677
19,1,2012-01-03,-16.55757229702937,0.12597173,1.429951684677
20,1,2012-01-03,-16.55757229702937,0.17370169,1.3732837574999999
21,1,2012-01-03,-16.55757229702937,0.014224655,1.1478464054739
22,1,2012-01-03,-16.55757229702937,0.0,0.9364573432500001
23,1,2012-01-03,-16.55757229702937,0.0,0.38206165799999997
0,2,2012-01-04,-15.023129289983515,0.080738604,0.30153157102760997
1,2,2012-01-04,-15.023129289983515,0.0,0.28079231947239003
2,2,2012-01-04,-15.023129289983515,0.20248671,0.27852277747239
3,2,2012-01-04,-15.023129289983515,0.146412,0.27806721247238997
4,2,2012-01-04,-15.023129289983515,0.2532931,0.28124719425
5,2,2012-01-04,-15.023129289983515,0.0,0.26641372177760997
6,2,2012-01-04,-15.023129289983515,0.00053467986,0.26459629349999997
7,2,2012-01-04,-15.023129289983515,0.24197984,0.26323512052761
8,2,2012-01-04,-15.023129289983515,0.0015713245,1.001785146
9,2,2012-01-04,-15.023129289983515,0.035123236,0.4773649300322999
10,2,2012-01-04,-15.023129289983515,0.27103013,0.39492127949999994
11,2,2012-01-04,-15.023129289983515,0.14468282,1.195577232177
12,2,2012-01-04,-15.023129289983515,9.8054705e-05,-0.019207518000000093
13,2,2012-01-04,-15.023129289983515,0.0,0.44522610732299994
14,2,2012-01-04,-15.023129289983515,0.00035862514,1.0495440871769999
15,2,2012-01-04,-15.023129289983515,0.0014483602,0.8295578311770001
16,2,2012-01-04,-15.023129289983515,0.0,1.257110993823
17,2,2012-01-04,-15.023129289983515,0.0,1.45908144
18,2,2012-01-04,-15.023129289983515,0.24299812,1.436414914677
19,2,2012-01-04,-15.023129289983515,0.14433584,1.429951684677
20,2,2012-01-04,-15.023129289983515,0.19659561,1.3732837574999999
21,2,2012-01-04,-15.023129289983515,0.05136146,1.1478464054739
22,2,2012-01-04,-15.023129289983515,0.00015910904,0.9364573432500001
23,2,2012-01-04,-15.023129289983515,0.0,0.38206165799999997
0,3,2012-01-05,-14.987781033324381,0.07223071,0.30153157102760997
1,3,2012-01-05,-14.987781033324381,0.0005157597,0.28079231947239003
2,3,2012-01-05,-14.987781033324381,0.25095138,0.27852277747239
3,3,2012-01-05,-14.987781033324381,0.17972422,0.27806721247238997
4,3,2012-01-05,-14.987781033324381,0.2637787,0.28124719425
