hour,iteration,timestamp,reward,actions,price_signal
0,1,2012-01-03,-7.7631361039770175,0.23707893,0.26187187672239
1,1,2012-01-03,-7.7631361039770175,0.00024433513,0.26399094427761
2,1,2012-01-03,-7.7631361039770175,0.0,0.26277955552761
3,1,2012-01-03,-7.7631361039770175,0.32028785,0.26648895899999997
4,1,2012-01-03,-7.7631361039770175,0.0,0.26217489652761
5,1,2012-01-03,-7.7631361039770175,0.30850857,0.26368861477761
6,1,2012-01-03,-7.7631361039770175,0.0,0.26368723425
7,1,2012-01-03,-7.7631361039770175,0.123713516,0.26278162627761
8,1,2012-01-03,-7.7631361039770175,0.00014440206,0.3054691750323
9,1,2012-01-03,-7.7631361039770175,0.025085304,0.2170216005
10,1,2012-01-03,-7.7631361039770175,0.00044695195,0.09613788149999998
11,1,2012-01-03,-7.7631361039770175,0.110652335,-0.05119937596770002
12,1,2012-01-03,-7.7631361039770175,0.38362262,-0.005704180032299977
13,1,2012-01-03,-7.7631361039770175,0.124662146,0.10411065196769999
14,1,2012-01-03,-7.7631361039770175,0.36350563,0.08230120753229998
15,1,2012-01-03,-7.7631361039770175,0.2373697,0.12609597
16,1,2012-01-03,-7.7631361039770175,0.0,0.19740823303229998
17,1,2012-01-03,-7.7631361039770175,0.34133542,0.2142709324677
18,1,2012-01-03,-7.7631361039770175,0.11449984,0.21320826253230002
19,1,2012-01-03,-7.7631361039770175,0.0022018733,0.21338349
20,1,2012-01-03,-7.7631361039770175,0.28936687,0.21551125246769998
21,1,2012-01-03,-7.7631361039770175,0.057109192,0.1825531785
22,1,2012-01-03,-7.7631361039770175,0.047299143,0.25566514875
23,1,2012-01-03,-7.7631361039770175,0.0016357753,0.26754711225
0,2,2012-01-04,-13.392294772346137,0.4351964,0.8702313067239
1,2,2012-01-04,-13.392294772346137,0.0016169695,0.6722379262500001
2,2,2012-01-04,-13.392294772346137,0.0,0.7973464290000001
3,2,2012-01-04,-13.392294772346137,0.1418273,0.58111250175
4,2,2012-01-04,-13.392294772346137,0.0005833944,0.36419798797239
5,2,2012-01-04,-13.392294772346137,0.6223706,0.28412277577760997
6,2,2012-01-04,-13.392294772346137,2.8527991e-05,0.25051864477761
7,2,2012-01-04,-13.392294772346137,0.2443184,0.28056729802761
8,2,2012-01-04,-13.392294772346137,0.0007805252,0.6751182885
9,2,2012-01-04,-13.392294772346137,0.3058155,0.335263341
10,2,2012-01-04,-13.392294772346137,0.1415232,0.7910379823229999
11,2,2012-01-04,-13.392294772346137,0.08726126,0.6071347019999999
12,2,2012-01-04,-13.392294772346137,0.43534574,0.7119443263229999
13,2,2012-01-04,-13.392294772346137,0.37140474,1.4288089110000002
14,2,2012-01-04,-13.392294772346137,0.41470236,1.4484405283230002
15,2,2012-01-04,-13.392294772346137,0.18873009,2.4740942431770003
16,2,2012-01-04,-13.392294772346137,0.0005738441,2.58941994
17,2,2012-01-04,-13.392294772346137,0.6045737,2.608267797177
18,2,2012-01-04,-13.392294772346137,0.17236944,2.532739900323
19,2,2012-01-04,-13.392294772346137,0.000645122,2.3410458600000004
20,2,2012-01-04,-13.392294772346137,0.5715042,1.737987094677
21,2,2012-01-04,-13.392294772346137,0.0,1.3944299355261
22,2,2012-01-04,-13.392294772346137,0.0,0.9805808842500001
23,2,2012-01-04,-13.392294772346137,0.0,0.33521024902761004
0,3,2012-01-05,-12.260282242040645,0.34862342,0.31954364475
1,3,2012-01-05,-12.260282242040645,0.0017774613,0.32786874997239
2,3,2012-01-05,-12.260282242040645,0.00013106788,0.32544666277761
3,3,2012-01-05,-12.260282242040645,0.2377874,0.33044269222239003
4,3,2012-01-05,-12.260282242040645,0.0,0.3411891945
5,3,2012-01-05,-12.260282242040645,0.5248305,0.34133966902761004
6,3,2012-01-05,-12.260282242040645,0.0006810504,0.34179523402761
7,3,2012-01-05,-12.260282242040645,0.24041036,0.33785804797239
8,3,2012-01-05,-12.260282242040645,0.0016555022,0.735653818323
9,3,2012-01-05,-12.260282242040645,0.19469558,0.08327327596769997
10,3,2012-01-05,-12.260282242040645,0.08654329,0.2672542378229999
11,3,2012-01-05,-12.260282242040645,0.08314333,0.8659235940000001
12,3,2012-01-05,-12.260282242040645,0.44456246,0.932293311
13,3,2012-01-05,-12.260282242040645,0.25545046,0.6599256601769999
14,3,2012-01-05,-12.260282242040645,0.40340075,1.208962998177
15,3,2012-01-05,-12.260282242040645,0.2615889,1.108710742677
16,3,2012-01-05,-12.260282242040645,0.0,1.541299313823
17,3,2012-01-05,-12.260282242040645,0.49117592,1.767296115
18,3,2012-01-05,-12.260282242040645,0.15180954,1.766056602177
19,3,2012-01-05,-12.260282242040645,0.00045372828,1.7060246296769999
20,3,2012-01-05,-12.260282242040645,0.4177079,1.6064162746769999
21,3,2012-01-05,-12.260282242040645,0.0011201748,1.2861994252239
22,3,2012-01-05,-12.260282242040645,0.0016802876,1.0182719857761
23,3,2012-01-05,-12.260282242040645,0.0008793022,0.39621385372239
0,4,2012-01-06,-10.01189422740079,0.26220316,0.324387129
1,4,2012-01-06,-10.01189422740079,0.00064043584,0.32423527402761
2,4,2012-01-06,-10.01189422740079,2.968735e-05,0.32665874175000004
3,4,2012-01-06,-10.01189422740079,0.28780693,0.3251450235
4,4,2012-01-06,-10.01189422740079,0.0,0.32665943197239
5,4,2012-01-06,-10.01189422740079,0.43004432,0.324387129
6,4,2012-01-06,-10.01189422740079,0.0009520503,0.32612724922239
7,4,2012-01-06,-10.01189422740079,0.19939052,0.32393432497239
8,4,2012-01-06,-10.01189422740079,0.00067992514,0.14809134285000003
9,4,2012-01-06,-10.01189422740079,0.15063271,0.18772163242238998
10,4,2012-01-06,-10.01189422740079,0.08675554,0.09378730462761002
11,4,2012-01-06,-10.01189422740079,0.10459154,0.2244866943
12,4,2012-01-06,-10.01189422740079,0.44280964,0.12458681182761
13,4,2012-01-06,-10.01189422740079,0.20114638,0.23540313607239
14,4,2012-01-06,-10.01189422740079,0.37239155,0.79764337455
15,4,2012-01-06,-10.01189422740079,0.27195963,0.8606938463739
16,4,2012-01-06,-10.01189422740079,0.0004944336,0.8922511105761001
17,4,2012-01-06,-10.01189422740079,0.4195136,0.80991035947239
18,4,2012-01-06,-10.01189422740079,0.1313777,0.78720458572239
19,4,2012-01-06,-10.01189422740079,0.0,0.78516144577761
20,4,2012-01-06,-10.01189422740079,0.3376912,0.77403530602761
21,4,2012-01-06,-10.01189422740079,0.0535065,0.75609777922239
22,4,2012-01-06,-10.01189422740079,0.0,0.36162611647239
23,4,2012-01-06,-10.01189422740079,0.0018362436,0.3224199165
0,5,2012-01-07,-7.7316760028234075,0.19863881,0.38993119822239
1,5,2012-01-07,-7.7316760028234075,0.0,0.39235397572239
2,5,2012-01-07,-7.7316760028234075,0.0016860804,0.39613792627761
3,5,2012-01-07,-7.7316760028234075,0.33732477,0.39401885872239
4,5,2012-01-07,-7.7316760028234075,0.0,0.3940181685
5,5,2012-01-07,-7.7316760028234075,0.371736,0.39356467425
6,5,2012-01-07,-7.7316760028234075,0.0,0.39470082577761
7,5,2012-01-07,-7.7316760028234075,0.20193942,0.39265768575
8,5,2012-01-07,-7.7316760028234075,0.00049931987,1.052152958823
9,5,2012-01-07,-7.7316760028234075,0.09890748,0.677970217323
10,5,2012-01-07,-7.7316760028234075,0.084604494,1.0795091205
11,5,2012-01-07,-7.7316760028234075,0.09861588,1.373364022677
12,5,2012-01-07,-7.7316760028234075,0.4487399,0.8569219066770001
13,5,2012-01-07,-7.7316760028234075,0.14183117,0.6684304123229999
14,5,2012-01-07,-7.7316760028234075,0.36446002,1.2221565794999998
15,5,2012-01-07,-7.7316760028234075,0.31615263,1.4952942616769997
16,5,2012-01-07,-7.7316760028234075,0.001320275,1.549229448
17,5,2012-01-07,-7.7316760028234075,0.37942395,1.624299977823
18,5,2012-01-07,-7.7316760028234075,0.07665379,1.546205845323
19,5,2012-01-07,-7.7316760028234075,0.0,1.515129207177
20,5,2012-01-07,-7.7316760028234075,0.26102585,1.482810634677
21,5,2012-01-07,-7.7316760028234075,0.08971386,1.1864451854739
22,5,2012-01-07,-7.7316760028234075,0.027272569,0.9275255085261
23,5,2012-01-07,-7.7316760028234075,0.0,0.35572102777761
0,6,2012-01-08,-10.216161439501265,0.2547683,0.34542801975
1,6,2012-01-08,-10.216161439501265,0.00041612392,0.33831499350000005
2,6,2012-01-08,-10.216161439501265,0.0012363298,0.35057521402761
3,6,2012-01-08,-10.216161439501265,0.3120635,0.34951568024999996
4,6,2012-01-08,-10.216161439501265,0.00029599227,0.34012966072239004
5,6,2012-01-08,-10.216161439501265,0.45001993,0.33256244999999995
6,6,2012-01-08,-10.216161439501265,0.0,0.33892034272238997
7,6,2012-01-08,-10.216161439501265,0.23216106,0.33468013702761
8,6,2012-01-08,-10.216161439501265,0.0,0.6676860585000001
9,6,2012-01-08,-10.216161439501265,0.17391148,0.04951945303229991
10,6,2012-01-08,-10.216161439501265,0.119034275,0.25660185899999993
11,6,2012-01-08,-10.216161439501265,0.079294495,0.28873228367700016
12,6,2012-01-08,-10.216161439501265,0.4728622,0.20066374967699976
13,6,2012-01-08,-10.216161439501265,0.17851314,0.13273103567699993
14,6,2012-01-08,-10.216161439501265,0.4032187,0.45924269232300013
15,6,2012-01-08,-10.216161439501265,0.29218972,0.791939797677
16,6,2012-01-08,-10.216161439501265,0.0022207294,1.195963702323
17,6,2012-01-08,-10.216161439501265,0.43524158,1.491752890323
18,6,2012-01-08,-10.216161439501265,0.1289047,1.6673308453229998
19,6,2012-01-08,-10.216161439501265,0.00060080545,1.6619302846769999
20,6,2012-01-08,-10.216161439501265,0.3176619,1.505742019677
21,6,2012-01-08,-10.216161439501265,0.05993674,1.2170225707761
22,6,2012-01-08,-10.216161439501265,0.0,0.94606976475
23,6,2012-01-08,-10.216161439501265,0.0006915835,0.35519091577761003
0,7,2012-01-09,22.07062046223263,0.22870442,0.320452704
1,7,2012-01-09,22.07062046223263,0.0,0.343007313
2,7,2012-01-09,22.07062046223263,0.0014571007,0.3614742615
3,7,2012-01-09,22.07062046223263,0.36765084,0.35617590247239
4,7,2012-01-09,22.07062046223263,0.0,0.33271292452761
5,7,2012-01-09,22.07062046223263,0.39235413,0.30485995650000003
6,7,2012-01-09,22.07062046223263,0.001031609,0.34134243000000003
7,7,2012-01-09,22.07062046223263,0.21355982,0.346941738
8,7,2012-01-09,22.07062046223263,0.0,-0.04072640662760998
9,7,2012-01-09,22.07062046223263,0.12692507,-0.13940661734999996
10,7,2012-01-09,22.07062046223263,0.06628302,-0.61690182622761
11,7,2012-01-09,22.07062046223263,0.08849356,-0.5047148034776101
12,7,2012-01-09,22.07062046223263,0.46638215,-0.5721324873000002
13,7,2012-01-09,22.07062046223263,0.12626897,0.5812153492760999
14,7,2012-01-09,22.07062046223263,0.3994559,0.3586181447738999
15,7,2012-01-09,22.07062046223263,0.30122292,0.5385584509239
16,7,2012-01-09,22.07062046223263,5.00546e-05,0.7739022258000001
17,7,2012-01-09,22.07062046223263,0.38724065,1.02432754875
18,7,2012-01-09,22.07062046223263,0.15509363,0.33657280252761
19,7,2012-01-09,22.07062046223263,0.0,0.228569385
20,7,2012-01-09,22.07062046223263,0.24892232,0.24219353947238997
21,7,2012-01-09,22.07062046223263,0.07707015,0.27549603127761
22,7,2012-01-09,22.07062046223263,0.0025483102,0.33710222422239
23,7,2012-01-09,22.07062046223263,0.00044415312,0.32136107302761
0,8,2012-01-10,-157.99520769578757,0.22896868,0.31992190177761
1,8,2012-01-10,-157.99520769578757,8.6941065e-05,0.33407616824999997
2,8,2012-01-10,-157.99520769578757,0.0,0.36283543447239
3,8,2012-01-10,-157.99520769578757,0.358236,0.3554193885
4,8,2012-01-10,-157.99520769578757,0.0,0.33135106125
5,8,2012-01-10,-157.99520769578757,0.4255041,0.31591085902761
6,8,2012-01-10,-157.99520769578757,0.0006856245,0.35511567847239006
7,8,2012-01-10,-157.99520769578757,0.22634597,0.36162542625
8,8,2012-01-10,-157.99520769578757,7.5912954e-05,0.010571790000000062
9,8,2012-01-10,-157.99520769578757,0.16090994,-0.27350396446770014
10,8,2012-01-10,-157.99520769578757,0.086985484,-0.044425581177000226
11,8,2012-01-10,-157.99520769578757,0.080463246,-0.10516169399999999
12,8,2012-01-10,-157.99520769578757,0.47499385,-0.20233462903229976
13,8,2012-01-10,-157.99520769578757,0.14681831,0.13015494917699985
14,8,2012-01-10,-157.99520769578757,0.41384324,0.294183232323
15,8,2012-01-10,-157.99520769578757,0.29725468,0.700591522323
16,8,2012-01-10,-157.99520769578757,0.0,1.016678514177
17,8,2012-01-10,-157.99520769578757,0.41775653,1.2470230575
18,8,2012-01-10,-157.99520769578757,0.16139492,1.2736754025
19,8,2012-01-10,-157.99520769578757,0.0,1.106950877823
20,8,2012-01-10,-157.99520769578757,0.2734581,1.215236627823
21,8,2012-01-10,-157.99520769578757,0.057341024,1.00018260375
22,8,2012-01-10,-157.99520769578757,0.0,0.80953210252761
23,8,2012-01-10,-157.99520769578757,0.0,0.35526684322239
0,9,2012-01-11,41.83351711904265,0.21952595,0.27670672972239
1,9,2012-01-11,41.83351711904265,0.00085967145,0.27928067197239
2,9,2012-01-11,41.83351711904265,0.0,0.27700974952761004
3,9,2012-01-11,41.83351711904265,0.36870608,0.27277092427761
4,9,2012-01-11,41.83351711904265,0.0,0.2727716145
5,9,2012-01-11,41.83351711904265,0.43183833,0.26535349777761
