hour,iteration,timestamp,reward,actions,price_signal
0,1,2012-01-03,-8.848981983407642,-0.7279765,0.30153157102760997
1,1,2012-01-03,-8.848981983407642,0.17405573,0.28079231947239003
2,1,2012-01-03,-8.848981983407642,-1.3755388,0.27852277747239
3,1,2012-01-03,-8.848981983407642,0.6034681,0.27806721247238997
4,1,2012-01-03,-8.848981983407642,1.0300384,0.28124719425
5,1,2012-01-03,-8.848981983407642,2.2465742,0.26641372177760997
6,1,2012-01-03,-8.848981983407642,-1.3155432,0.26459629349999997
7,1,2012-01-03,-8.848981983407642,-0.68415296,0.26323512052761
8,1,2012-01-03,-8.848981983407642,0.58447564,1.001785146
9,1,2012-01-03,-8.848981983407642,0.0584971,0.4773649300322999
10,1,2012-01-03,-8.848981983407642,-1.7308027,0.39492127949999994
11,1,2012-01-03,-8.848981983407642,0.2782295,1.195577232177
12,1,2012-01-03,-8.848981983407642,0.4974314,-0.019207518000000093
13,1,2012-01-03,-8.848981983407642,-0.6102755,0.44522610732299994
14,1,2012-01-03,-8.848981983407642,0.9781883,1.0495440871769999
15,1,2012-01-03,-8.848981983407642,-0.7240355,0.8295578311770001
16,1,2012-01-03,-8.848981983407642,1.5115001,1.257110993823
17,1,2012-01-03,-8.848981983407642,-0.6245916,1.45908144
18,1,2012-01-03,-8.848981983407642,-1.1224811,1.436414914677
19,1,2012-01-03,-8.848981983407642,0.6605108,1.429951684677
20,1,2012-01-03,-8.848981983407642,-0.8361361,1.3732837574999999
21,1,2012-01-03,-8.848981983407642,-0.37130088,1.1478464054739
22,1,2012-01-03,-8.848981983407642,-3.0102143,0.9364573432500001
23,1,2012-01-03,-8.848981983407642,-0.16503173,0.38206165799999997
0,2,2012-01-04,-13.16990293792807,0.35787457,0.30153157102760997
1,2,2012-01-04,-13.16990293792807,0.6757857,0.28079231947239003
2,2,2012-01-04,-13.16990293792807,-0.6982144,0.27852277747239
3,2,2012-01-04,-13.16990293792807,-0.0450041,0.27806721247238997
