hour,iteration,timestamp,reward,actions,price_signal
0,1,2012-01-03,-16.80586868074857,0.35721666,0.30153157102760997
1,1,2012-01-03,-16.80586868074857,0.1726304,0.28079231947239003
2,1,2012-01-03,-16.80586868074857,0.6136224,0.27852277747239
3,1,2012-01-03,-16.80586868074857,-0.52344686,0.27806721247238997
4,1,2012-01-03,-16.80586868074857,0.09609592,0.28124719425
5,1,2012-01-03,-16.80586868074857,0.12009972,0.26641372177760997
6,1,2012-01-03,-16.80586868074857,0.83593184,0.26459629349999997
7,1,2012-01-03,-16.80586868074857,-0.25578755,0.26323512052761
8,1,2012-01-03,-16.80586868074857,-0.40896273,1.001785146
9,1,2012-01-03,-16.80586868074857,-0.8051771,0.4773649300322999
10,1,2012-01-03,-16.80586868074857,0.21597654,0.39492127949999994
11,1,2012-01-03,-16.80586868074857,1.225152,1.195577232177
12,1,2012-01-03,-16.80586868074857,-1.2976704,-0.019207518000000093
13,1,2012-01-03,-16.80586868074857,-0.32325643,0.44522610732299994
14,1,2012-01-03,-16.80586868074857,-2.086263,1.0495440871769999
15,1,2012-01-03,-16.80586868074857,-0.32817775,0.8295578311770001
16,1,2012-01-03,-16.80586868074857,1.9798625,1.257110993823
17,1,2012-01-03,-16.80586868074857,1.9712718,1.45908144
18,1,2012-01-03,-16.80586868074857,0.1710439,1.436414914677
19,1,2012-01-03,-16.80586868074857,-0.7509052,1.429951684677
20,1,2012-01-03,-16.80586868074857,-1.186038,1.3732837574999999
21,1,2012-01-03,-16.80586868074857,0.025856271,1.1478464054739
22,1,2012-01-03,-16.80586868074857,-0.565452,0.9364573432500001
23,1,2012-01-03,-16.80586868074857,-0.008839995,0.38206165799999997
0,2,2012-01-04,-10.143137697044553,-1.7081276,0.30153157102760997
1,2,2012-01-04,-10.143137697044553,-1.4572909,0.28079231947239003
2,2,2012-01-04,-10.143137697044553,0.67673576,0.27852277747239
3,2,2012-01-04,-10.143137697044553,1.6036472,0.27806721247238997
4,2,2012-01-04,-10.143137697044553,0.63857716,0.28124719425
5,2,2012-01-04,-10.143137697044553,0.23422152,0.26641372177760997
6,2,2012-01-04,-10.143137697044553,-1.8130717,0.26459629349999997
7,2,2012-01-04,-10.143137697044553,0.1232778,0.26323512052761
8,2,2012-01-04,-10.143137697044553,0.6014837,1.001785146
9,2,2012-01-04,-10.143137697044553,-0.008469537,0.4773649300322999
10,2,2012-01-04,-10.143137697044553,-1.1000438,0.39492127949999994
11,2,2012-01-04,-10.143137697044553,0.6575433,1.195577232177
12,2,2012-01-04,-10.143137697044553,0.7171962,-0.019207518000000093
13,2,2012-01-04,-10.143137697044553,0.9286292,0.44522610732299994
14,2,2012-01-04,-10.143137697044553,-0.58744264,1.0495440871769999
15,2,2012-01-04,-10.143137697044553,-1.7246795,0.8295578311770001
16,2,2012-01-04,-10.143137697044553,1.223936,1.257110993823
17,2,2012-01-04,-10.143137697044553,-1.2045991,1.45908144
18,2,2012-01-04,-10.143137697044553,-0.906867,1.436414914677
19,2,2012-01-04,-10.143137697044553,0.37815225,1.429951684677
20,2,2012-01-04,-10.143137697044553,-1.9843388,1.3732837574999999
21,2,2012-01-04,-10.143137697044553,0.03787799,1.1478464054739
22,2,2012-01-04,-10.143137697044553,-0.16420281,0.9364573432500001
23,2,2012-01-04,-10.143137697044553,-0.24503273,0.38206165799999997
0,3,2012-01-05,-10.821846635623887,1.4760339,0.30153157102760997
1,3,2012-01-05,-10.821846635623887,-0.42374852,0.28079231947239003
2,3,2012-01-05,-10.821846635623887,-2.1669002,0.27852277747239
3,3,2012-01-05,-10.821846635623887,0.6217646,0.27806721247238997
4,3,2012-01-05,-10.821846635623887,0.96409214,0.28124719425
5,3,2012-01-05,-10.821846635623887,-1.0059578,0.26641372177760997
6,3,2012-01-05,-10.821846635623887,-0.4501863,0.26459629349999997
7,3,2012-01-05,-10.821846635623887,1.3518083,0.26323512052761
8,3,2012-01-05,-10.821846635623887,-1.5868034,1.001785146
9,3,2012-01-05,-10.821846635623887,-0.23999457,0.4773649300322999
10,3,2012-01-05,-10.821846635623887,0.38070455,0.39492127949999994
11,3,2012-01-05,-10.821846635623887,-1.7397288,1.195577232177
12,3,2012-01-05,-10.821846635623887,-0.13854279,-0.019207518000000093
13,3,2012-01-05,-10.821846635623887,-0.83777654,0.44522610732299994
14,3,2012-01-05,-10.821846635623887,-0.8914343,1.0495440871769999
15,3,2012-01-05,-10.821846635623887,2.296968,0.8295578311770001
16,3,2012-01-05,-10.821846635623887,-0.5872468,1.257110993823
17,3,2012-01-05,-10.821846635623887,-0.6101186,1.45908144
18,3,2012-01-05,-10.821846635623887,-0.7692276,1.436414914677
19,3,2012-01-05,-10.821846635623887,-1.5467546,1.429951684677
20,3,2012-01-05,-10.821846635623887,-0.07866488,1.3732837574999999
21,3,2012-01-05,-10.821846635623887,0.7745632,1.1478464054739
22,3,2012-01-05,-10.821846635623887,0.055313885,0.9364573432500001
23,3,2012-01-05,-10.821846635623887,-0.44714612,0.38206165799999997
0,4,2012-01-06,-9.324175106379224,1.23943,0.30153157102760997
1,4,2012-01-06,-9.324175106379224,0.5629961,0.28079231947239003
2,4,2012-01-06,-9.324175106379224,0.3287128,0.27852277747239
3,4,2012-01-06,-9.324175106379224,-0.9657351,0.27806721247238997
4,4,2012-01-06,-9.324175106379224,1.1199436,0.28124719425
5,4,2012-01-06,-9.324175106379224,0.9668602,0.26641372177760997
6,4,2012-01-06,-9.324175106379224,0.7682729,0.26459629349999997
7,4,2012-01-06,-9.324175106379224,-0.60810363,0.26323512052761
