"ray/tune/custom_metrics/real_step_max","threshold_type: s - _step","threshold_type: s - _step__MIN","threshold_type: s - _step__MAX","threshold_type: s - ray/tune/custom_metrics/energy_cost_mean","threshold_type: s - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: s - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: concave - _step","threshold_type: concave - _step__MIN","threshold_type: concave - _step__MAX","threshold_type: concave - ray/tune/custom_metrics/energy_cost_mean","threshold_type: concave - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: concave - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: convex - _step","threshold_type: convex - _step__MIN","threshold_type: convex - _step__MAX","threshold_type: convex - ray/tune/custom_metrics/energy_cost_mean","threshold_type: convex - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: convex - ray/tune/custom_metrics/energy_cost_mean__MAX"
"3805","","","","","","","76","76","76","81.69849395751953","81.69849395751953","81.69849395751953","","","","","",""
"3816","104","104","104","78.09872436523438","78.09872436523438","78.09872436523438","","","","","","","","","","","",""
"3817","102","102","102","81.69586181640625","81.69586181640625","81.69586181640625","","","","","","","","","","","",""
"3818","107","107","107","78.90422058105469","78.90422058105469","78.90422058105469","","","","","","","96","96","96","83.86878204345703","83.86878204345703","83.86878204345703"
"3822","","","","","","","76","76","76","81.34626007080078","81.34626007080078","81.34626007080078","97","97","97","80.19514465332031","80.19514465332031","80.19514465332031"
"3826","","","","","","","","","","","","","98","98","98","77.8947982788086","77.8947982788086","77.8947982788086"
"3827","104","104","104","78.42359161376953","78.42359161376953","78.42359161376953","","","","","","","","","","","",""
"3829","","","","","","","76","76","76","84.63784790039062","84.63784790039062","84.63784790039062","","","","","",""
"3839","104","104","104","76.6957778930664","76.6957778930664","76.6957778930664","","","","","","","","","","","",""
"3846","","","","","","","76","76","76","82.5948715209961","82.5948715209961","82.5948715209961","","","","","",""
"3848","","","","","","","","","","","","","98","98","98","79.05689239501953","79.05689239501953","79.05689239501953"
"3850","","","","","","","","","","","","","98","98","98","78.18724822998047","78.18724822998047","78.18724822998047"
"3864","103","103","103","76.85931396484375","76.85931396484375","76.85931396484375","","","","","","","","","","","",""
"3866","","","","","","","77","77","77","84.32383728027344","84.32383728027344","84.32383728027344","","","","","",""
"3872","106.5","105","108","77.56045150756836","77.40767669677734","77.71322631835938","77","77","77","84.03828430175781","84.03828430175781","84.03828430175781","","","","","",""
"3873","105","105","105","77.91273498535156","77.91273498535156","77.91273498535156","","","","","","","","","","","",""
"3875","","","","","","","","","","","","","97","97","97","78.49373626708984","78.49373626708984","78.49373626708984"
"3876","","","","","","","","","","","","","98","98","98","81.55057525634766","81.55057525634766","81.55057525634766"
"3882","105","105","105","78.25889587402344","78.25889587402344","78.25889587402344","","","","","","","","","","","",""
"3884","","","","","","","77","77","77","81.17765045166016","81.17765045166016","81.17765045166016","","","","","",""
"3885","","","","","","","","","","","","","99","99","99","80.9285659790039","80.9285659790039","80.9285659790039"
"3895","","","","","","","77","77","77","87.06898498535156","87.06898498535156","87.06898498535156","","","","","",""
"3902","","","","","","","","","","","","","99","99","99","78.18094635009766","78.18094635009766","78.18094635009766"
"3908","","","","","","","","","","","","","99","99","99","80.33097076416016","80.33097076416016","80.33097076416016"
"3918","","","","","","","77","77","77","81.18113708496094","81.18113708496094","81.18113708496094","","","","","",""
"3919","109","109","109","77.3849868774414","77.3849868774414","77.3849868774414","","","","","","","","","","","",""
"3921","104","104","104","76.94640350341797","76.94640350341797","76.94640350341797","","","","","","","","","","","",""
"3922","106","106","106","76.87419891357422","76.87419891357422","76.87419891357422","","","","","","","","","","","",""
"3927","106","106","106","76.2723388671875","76.2723388671875","76.2723388671875","","","","","","","","","","","",""
"3933","106","106","106","79.13743591308594","79.13743591308594","79.13743591308594","","","","","","","98","98","98","77.56816101074219","77.56816101074219","77.56816101074219"
"3935","","","","","","","78","78","78","84.07686614990234","84.07686614990234","84.07686614990234","","","","","",""
"3939","","","","","","","78","78","78","83.56859588623047","83.56859588623047","83.56859588623047","","","","","",""
"3940","","","","","","","","","","","","","99","99","99","77.66072082519531","77.66072082519531","77.66072082519531"
"3944","","","","","","","","","","","","","100","100","100","80.5549545288086","80.5549545288086","80.5549545288086"
"3945","","","","","","","78","78","78","85.7699203491211","85.7699203491211","85.7699203491211","","","","","",""
"3958","","","","","","","78","78","78","85.81656646728516","85.81656646728516","85.81656646728516","","","","","",""
"3959","","","","","","","","","","","","","100","100","100","78.2138442993164","78.2138442993164","78.2138442993164"
"3971","","","","","","","","","","","","","100","100","100","79.7379150390625","79.7379150390625","79.7379150390625"
"3975","105","105","105","76.05496978759766","76.05496978759766","76.05496978759766","","","","","","","","","","","",""
"3978","110","110","110","76.98931884765625","76.98931884765625","76.98931884765625","","","","","","","","","","","",""
"3979","107","107","107","78.04959106445312","78.04959106445312","78.04959106445312","","","","","","","","","","","",""
"3985","107","107","107","77.75747299194336","77.21459197998047","78.30035400390625","","","","","","","","","","","",""
"3987","","","","","","","","","","","","","99","99","99","82.1129150390625","82.1129150390625","82.1129150390625"
"3993","","","","","","","78","78","78","79.58842468261719","79.58842468261719","79.58842468261719","","","","","",""
"3999","","","","","","","","","","","","","101","101","101","77.90754699707031","77.90754699707031","77.90754699707031"
"4000","","","","","","","","","","","","","100","100","100","78.20445251464844","78.20445251464844","78.20445251464844"
"4004","","","","","","","79","79","79","82.04006958007812","82.04006958007812","82.04006958007812","","","","","",""
"4008","","","","","","","79","79","79","84.5699234008789","84.5699234008789","84.5699234008789","","","","","",""
"4010","","","","","","","79","79","79","82.8031005859375","82.8031005859375","82.8031005859375","","","","","",""
"4017","","","","","","","","","","","","","101","101","101","79.1783218383789","79.1783218383789","79.1783218383789"
"4021","","","","","","","79","79","79","87.97618865966797","87.97618865966797","87.97618865966797","","","","","",""
"4030","106","106","106","74.89652252197266","74.89652252197266","74.89652252197266","","","","","","","","","","","",""
"4032","108","108","108","75.4634017944336","75.4634017944336","75.4634017944336","","","","","","","","","","","",""
"4036","","","","","","","","","","","","","101","101","101","76.69099426269531","76.69099426269531","76.69099426269531"
"4041","108","108","108","76.06366729736328","76.06366729736328","76.06366729736328","","","","","","","","","","","",""
"4042","108","108","108","76.05472564697266","76.05472564697266","76.05472564697266","","","","","","","","","","","",""
"4046","","","","","","","","","","","","","100","100","100","78.27581787109375","78.27581787109375","78.27581787109375"
"4047","111","111","111","72.3598861694336","72.3598861694336","72.3598861694336","","","","","","","","","","","",""
"4055","","","","","","","79","79","79","85.23036193847656","85.23036193847656","85.23036193847656","","","","","",""
"4060","","","","","","","","","","","","","102","102","102","78.01356506347656","78.01356506347656","78.01356506347656"
"4063","","","","","","","","","","","","","101","101","101","76.96300506591797","76.96300506591797","76.96300506591797"
"4076","","","","","","","80","80","80","80.20236206054688","80.20236206054688","80.20236206054688","","","","","",""
"4078","","","","","","","80","80","80","83.931884765625","83.931884765625","83.931884765625","","","","","",""
"4084","","","","","","","","","","","","","102","102","102","75.67826080322266","75.67826080322266","75.67826080322266"
"4085","","","","","","","80","80","80","77.19335174560547","77.19335174560547","77.19335174560547","","","","","",""
"4089","109","109","109","75.32017517089844","75.32017517089844","75.32017517089844","","","","","","","","","","","",""
"4090","107","107","107","75.59554290771484","75.59554290771484","75.59554290771484","","","","","","","","","","","",""
"4092","109","109","109","78.41927337646484","78.41927337646484","78.41927337646484","80","80","80","80.3643798828125","80.3643798828125","80.3643798828125","","","","","",""
"4093","109","109","109","76.37312316894531","76.37312316894531","76.37312316894531","","","","","","","","","","","",""
"4097","","","","","","","","","","","","","102","102","102","78.02299499511719","78.02299499511719","78.02299499511719"
"4104","112","112","112","75.07125854492188","75.07125854492188","75.07125854492188","","","","","","","","","","","",""
"4105","","","","","","","","","","","","","101","101","101","81.97891235351562","81.97891235351562","81.97891235351562"
"4115","","","","","","","","","","","","","102","102","102","79.96527099609375","79.96527099609375","79.96527099609375"
"4117","","","","","","","80","80","80","84.47412109375","84.47412109375","84.47412109375","","","","","",""
"4120","","","","","","","","","","","","","103","103","103","77.66567993164062","77.66567993164062","77.66567993164062"
"4137","108","108","108","78.54716491699219","78.54716491699219","78.54716491699219","","","","","","","","","","","",""
"4142","","","","","","","81","81","81","82.77796173095703","82.77796173095703","82.77796173095703","","","","","",""
"4145","110","110","110","77.9045181274414","77.9045181274414","77.9045181274414","81","81","81","82.42759704589844","80.23936462402344","84.61582946777344","","","","","",""
"4146","110","110","110","76.22325134277344","76.22325134277344","76.22325134277344","","","","","","","","","","","",""
"4147","110","110","110","75.75562286376953","75.75562286376953","75.75562286376953","","","","","","","","","","","",""
"4148","","","","","","","81","81","81","86.69588470458984","86.69588470458984","86.69588470458984","","","","","",""
"4151","","","","","","","","","","","","","103","103","103","77.51962280273438","77.51962280273438","77.51962280273438"
"4155","","","","","","","","","","","","","102","102","102","81.27267456054688","81.27267456054688","81.27267456054688"
"4157","","","","","","","","","","","","","103","103","103","78.31537628173828","78.31537628173828","78.31537628173828"
"4168","","","","","","","","","","","","","103","103","103","80.35070037841797","80.35070037841797","80.35070037841797"
"4170","","","","","","","","","","","","","104","104","104","78.82196044921875","78.82196044921875","78.82196044921875"
"4173","113","113","113","69.43517303466797","69.43517303466797","69.43517303466797","","","","","","","","","","","",""
"4183","","","","","","","81","81","81","86.15327453613281","86.15327453613281","86.15327453613281","","","","","",""
"4190","109","109","109","75.82022857666016","75.82022857666016","75.82022857666016","","","","","","","","","","","",""
"4196","111","111","111","74.33778381347656","74.33778381347656","74.33778381347656","","","","","","","","","","","",""
"4204","111","111","111","77.10329055786133","75.8151626586914","78.39141845703125","82","82","82","85.95726013183594","85.95726013183594","85.95726013183594","103","103","103","81.83518981933594","81.83518981933594","81.83518981933594"
"4205","","","","","","","82","82","82","85.45893859863281","85.45893859863281","85.45893859863281","","","","","",""
"4208","","","","","","","82","82","82","83.05935668945312","83.05935668945312","83.05935668945312","","","","","",""
"4213","","","","","","","82","82","82","81.6458511352539","81.6458511352539","81.6458511352539","","","","","",""
"4214","","","","","","","","","","","","","104","104","104","79.12100219726562","79.11337280273438","79.12863159179688"
"4221","","","","","","","","","","","","","104","104","104","76.0619888305664","76.0619888305664","76.0619888305664"
"4227","","","","","","","","","","","","","105","105","105","79.1637954711914","79.1637954711914","79.1637954711914"
"4247","110","110","110","76.3623046875","76.3623046875","76.3623046875","","","","","","","","","","","",""
"4248","114","114","114","69.2392578125","69.2392578125","69.2392578125","","","","","","","","","","","",""
"4255","112","112","112","72.7125244140625","72.7125244140625","72.7125244140625","","","","","","","","","","","",""
"4256","","","","","","","82","82","82","79.87289428710938","79.87289428710938","79.87289428710938","","","","","",""
"4257","112","112","112","75.93096160888672","75.93096160888672","75.93096160888672","","","","","","","","","","","",""
"4258","","","","","","","","","","","","","104","104","104","82.28865814208984","82.28865814208984","82.28865814208984"
"4261","112","112","112","75.3889389038086","75.3889389038086","75.3889389038086","","","","","","","","","","","",""
"4266","","","","","","","83","83","83","87.2452392578125","87.2452392578125","87.2452392578125","","","","","",""
"4269","","","","","","","","","","","","","105","105","105","78.24948120117188","78.24948120117188","78.24948120117188"
"4270","","","","","","","83","83","83","82.78053283691406","82.78053283691406","82.78053283691406","","","","","",""
"4272","","","","","","","83","83","83","83.3179702758789","83.3179702758789","83.3179702758789","","","","","",""
"4275","","","","","","","","","","","","","105","105","105","77.87162017822266","77.87162017822266","77.87162017822266"
"4279","","","","","","","","","","","","","106","106","106","79.90333557128906","79.90333557128906","79.90333557128906"
"4286","","","","","","","83","83","83","79.86614990234375","79.86614990234375","79.86614990234375","","","","","",""
"4287","","","","","","","","","","","","","105","105","105","74.34563446044922","74.34563446044922","74.34563446044922"
"4304","111","111","111","74.69840240478516","74.69840240478516","74.69840240478516","","","","","","","","","","","",""
"4308","","","","","","","","","","","","","105","105","105","79.07476043701172","79.07476043701172","79.07476043701172"
"4309","115","115","115","74.552734375","74.552734375","74.552734375","","","","","","","","","","","",""
"4312","113","113","113","76.54903411865234","76.54903411865234","76.54903411865234","","","","","","","","","","","",""
"4316","113","113","113","73.66842651367188","73.66842651367188","73.66842651367188","","","","","","","","","","","",""
"4324","","","","","","","","","","","","","106","106","106","77.3519287109375","77.3519287109375","77.3519287109375"
"4327","113","113","113","73.0105972290039","73.0105972290039","73.0105972290039","84","84","84","83.35332489013672","83.35332489013672","83.35332489013672","","","","","",""
"4329","","","","","","","83","83","83","81.11027526855469","81.11027526855469","81.11027526855469","","","","","",""
"4331","","","","","","","","","","","","","107","107","107","77.63016510009766","77.63016510009766","77.63016510009766"
"4333","","","","","","","","","","","","","106","106","106","75.7806625366211","75.7806625366211","75.7806625366211"
"4339","","","","","","","84","84","84","79.99335479736328","79.99335479736328","79.99335479736328","","","","","",""
"4344","","","","","","","84","84","84","81.4669418334961","81.4669418334961","81.4669418334961","","","","","",""
"4352","","","","","","","","","","","","","106","106","106","74.6658706665039","74.6658706665039","74.6658706665039"
"4353","","","","","","","84","84","84","79.9195785522461","79.9195785522461","79.9195785522461","","","","","",""
"4356","","","","","","","","","","","","","106","106","106","80.47297668457031","80.47297668457031","80.47297668457031"
"4361","116","116","116","76.02533721923828","76.02533721923828","76.02533721923828","","","","","","","","","","","",""
"4362","112","112","112","75.9582748413086","75.9582748413086","75.9582748413086","","","","","","","","","","","",""
"4364","114","114","114","77.51046752929688","77.51046752929688","77.51046752929688","","","","","","","","","","","",""
"4373","","","","","","","","","","","","","107","107","107","78.88875579833984","78.88875579833984","78.88875579833984"
"4375","114","114","114","75.05020904541016","75.05020904541016","75.05020904541016","","","","","","","","","","","",""
"4384","114","114","114","74.34076690673828","74.34076690673828","74.34076690673828","","","","","","","","","","","",""
"4388","","","","","","","","","","","","","108","108","108","79.3427734375","79.3427734375","79.3427734375"
"4391","","","","","","","85","85","85","83.02264404296875","83.02264404296875","83.02264404296875","","","","","",""
"4396","","","","","","","","","","","","","107","107","107","76.4273452758789","76.4273452758789","76.4273452758789"
"4402","","","","","","","84","84","84","78.5480728149414","78.5480728149414","78.5480728149414","","","","","",""
"4409","","","","","","","85","85","85","80.85702514648438","80.85702514648438","80.85702514648438","","","","","",""
"4411","","","","","","","","","","","","","107","107","107","77.08949279785156","77.08949279785156","77.08949279785156"
"4414","117","117","117","74.49816131591797","74.49816131591797","74.49816131591797","85","85","85","80.75518798828125","80.75518798828125","80.75518798828125","","","","","",""
"4415","","","","","","","","","","","","","107","107","107","76.13019561767578","76.13019561767578","76.13019561767578"
"4419","115","115","115","74.453369140625","74.453369140625","74.453369140625","","","","","","","","","","","",""
"4423","","","","","","","85","85","85","81.13590240478516","81.13590240478516","81.13590240478516","","","","","",""
"4424","113","113","113","73.90348815917969","73.90348815917969","73.90348815917969","","","","","","","","","","","",""
"4437","115","115","115","75.13587188720703","75.13587188720703","75.13587188720703","","","","","","","","","","","",""
"4442","115","115","115","74.2649154663086","74.2649154663086","74.2649154663086","","","","","","","","","","","",""
"4443","","","","","","","","","","","","","108","108","108","75.32450103759766","75.32450103759766","75.32450103759766"
"4451","","","","","","","","","","","","","109","109","109","75.43737030029297","75.43737030029297","75.43737030029297"
"4460","","","","","","","86","86","86","80.76625061035156","80.76625061035156","80.76625061035156","","","","","",""
"4463","","","","","","","","","","","","","108","108","108","75.42749786376953","75.42749786376953","75.42749786376953"
"4465","118","118","118","76.5501708984375","76.5501708984375","76.5501708984375","","","","","","","","","","","",""
"4469","","","","","","","85","85","85","83.27899169921875","83.27899169921875","83.27899169921875","","","","","",""
"4471","","","","","","","","","","","","","108","108","108","75.5953140258789","75.5953140258789","75.5953140258789"
"4474","116","116","116","74.0221176147461","74.0221176147461","74.0221176147461","","","","","","","","","","","",""
"4476","","","","","","","86","86","86","81.37907409667969","81.37907409667969","81.37907409667969","","","","","",""
"4477","","","","","","","86","86","86","78.39024353027344","78.39024353027344","78.39024353027344","","","","","",""
"4479","","","","","","","","","","","","","108","108","108","74.20353698730469","74.20353698730469","74.20353698730469"
"4489","115","114","116","75.11605834960938","74.61283874511719","75.61927795410156","","","","","","","","","","","",""
"4493","","","","","","","86","86","86","82.680419921875","82.680419921875","82.680419921875","","","","","",""
"4499","116","116","116","73.09982299804688","73.09982299804688","73.09982299804688","","","","","","","110","110","110","77.94287109375","77.94287109375","77.94287109375"
"4509","","","","","","","","","","","","","109","109","109","75.3991470336914","75.3991470336914","75.3991470336914"
"4522","","","","","","","","","","","","","109","109","109","76.1827163696289","76.1827163696289","76.1827163696289"
"4524","119","119","119","75.07141876220703","75.07141876220703","75.07141876220703","87","87","87","81.09681701660156","81.09681701660156","81.09681701660156","","","","","",""
"4528","115","115","115","76.08848571777344","76.08848571777344","76.08848571777344","","","","","","","","","","","",""
"4529","","","","","","","","","","","","","109","109","109","78.64053344726562","78.64053344726562","78.64053344726562"
"4535","117","117","117","75.32814025878906","75.32814025878906","75.32814025878906","","","","","","","","","","","",""
"4543","117","117","117","73.94241333007812","73.94241333007812","73.94241333007812","86.5","86","87","81.01904678344727","80.4743423461914","81.56375122070312","","","","","",""
"4544","","","","","","","","","","","","","109","109","109","74.80186462402344","74.80186462402344","74.80186462402344"
"4548","","","","","","","87","87","87","79.55645751953125","79.55645751953125","79.55645751953125","","","","","",""
"4565","","","","","","","87","87","87","81.7250747680664","81.7250747680664","81.7250747680664","","","","","",""
"4566","117","117","117","73.13854217529297","73.13854217529297","73.13854217529297","","","","","","","111","111","111","74.81233978271484","74.81233978271484","74.81233978271484"
"4570","","","","","","","","","","","","","110","110","110","77.20394134521484","77.20394134521484","77.20394134521484"
"4577","120","120","120","76.11563110351562","76.11563110351562","76.11563110351562","","","","","","","","","","","",""
"4580","","","","","","","","","","","","","110","110","110","77.01615142822266","77.01615142822266","77.01615142822266"
"4584","116","116","116","74.20504760742188","74.20504760742188","74.20504760742188","","","","","","","","","","","",""
"4587","","","","","","","","","","","","","110","110","110","74.71022033691406","74.71022033691406","74.71022033691406"
"4588","118","118","118","73.5981674194336","73.5981674194336","73.5981674194336","","","","","","","","","","","",""
"4593","","","","","","","88","88","88","80.74833679199219","80.74833679199219","80.74833679199219","","","","","",""
"4604","118","118","118","73.48392486572266","73.48392486572266","73.48392486572266","","","","","","","","","","","",""
"4615","","","","","","","88","88","88","81.05918884277344","81.05918884277344","81.05918884277344","","","","","",""
"4616","","","","","","","88","88","88","80.9046401977539","80.9046401977539","80.9046401977539","","","","","",""
"4617","","","","","","","87","87","87","79.61196899414062","79.61196899414062","79.61196899414062","","","","","",""
"4618","","","","","","","","","","","","","110","110","110","72.66252136230469","72.66252136230469","72.66252136230469"
"4629","118","118","118","71.24423217773438","71.24423217773438","71.24423217773438","","","","","","","","","","","",""
"4631","","","","","","","","","","","","","111","111","111","75.19960021972656","75.19960021972656","75.19960021972656"
"4634","","","","","","","88","88","88","81.62569427490234","81.62569427490234","81.62569427490234","","","","","",""
"4636","121","121","121","72.69021606445312","72.69021606445312","72.69021606445312","","","","","","","","","","","",""
"4645","","","","","","","","","","","","","111","111","111","75.771728515625","75.771728515625","75.771728515625"
"4646","119","119","119","74.09832763671875","74.09832763671875","74.09832763671875","","","","","","","","","","","",""
"4648","117","117","117","74.01557159423828","74.01557159423828","74.01557159423828","","","","","","","111","111","111","75.11444854736328","75.11444854736328","75.11444854736328"
"4653","","","","","","","","","","","","","112","112","112","67.76061248779297","67.76061248779297","67.76061248779297"
"4659","","","","","","","89","89","89","82.66927337646484","82.66927337646484","82.66927337646484","","","","","",""
"4665","119","119","119","72.68681335449219","72.68681335449219","72.68681335449219","","","","","","","","","","","",""
"4686","","","","","","","88.66666666666667","88","89","79.49360911051433","78.73088073730469","80.13175964355469","","","","","",""
"4688","","","","","","","","","","","","","111","111","111","75.60673522949219","75.60673522949219","75.60673522949219"
"4690","","","","","","","","","","","","","112","112","112","77.04931640625","77.04931640625","77.04931640625"
"4695","119","119","119","68.8660888671875","68.8660888671875","68.8660888671875","","","","","","","","","","","",""
"4697","122","122","122","74.07170104980469","74.07170104980469","74.07170104980469","","","","","","","","","","","",""
"4699","120","120","120","74.62714385986328","74.62714385986328","74.62714385986328","","","","","","","","","","","",""
"4707","","","","","","","89","89","89","80.9988784790039","80.9988784790039","80.9988784790039","","","","","",""
"4708","","","","","","","","","","","","","112","112","112","74.47365188598633","73.6249008178711","75.32240295410156"
"4709","118","118","118","72.30207061767578","72.30207061767578","72.30207061767578","","","","","","","","","","","",""
"4716","","","","","","","90","90","90","84.91746520996094","84.91746520996094","84.91746520996094","","","","","",""
"4735","120","120","120","68.37068176269531","68.37068176269531","68.37068176269531","","","","","","","","","","","",""
"4736","","","","","","","","","","","","","113","113","113","68.52259826660156","68.52259826660156","68.52259826660156"
"4739","","","","","","","","","","","","","113","113","113","76.53288269042969","76.53288269042969","76.53288269042969"
"4754","","","","","","","","","","","","","112","112","112","75.82757568359375","75.82757568359375","75.82757568359375"
"4756","121","121","121","73.56190490722656","73.56190490722656","73.56190490722656","","","","","","","","","","","",""
"4757","","","","","","","89","89","89","82.22898864746094","82.22898864746094","82.22898864746094","","","","","",""
"4758","","","","","","","90","90","90","78.94027709960938","78.94027709960938","78.94027709960938","","","","","",""
"4759","123","123","123","71.37032318115234","71.37032318115234","71.37032318115234","","","","","","","","","","","",""
"4761","120","120","120","71.16727447509766","71.16727447509766","71.16727447509766","","","","","","","","","","","",""
"4762","","","","","","","90","90","90","78.63107299804688","78.63107299804688","78.63107299804688","","","","","",""
"4763","119","119","119","73.77977752685547","73.77977752685547","73.77977752685547","","","","","","","","","","","",""
"4771","","","","","","","","","","","","","113","113","113","74.98062133789062","74.98062133789062","74.98062133789062"
"4773","","","","","","","90","90","90","81.41822052001953","81.41822052001953","81.41822052001953","","","","","",""
"4775","","","","","","","","","","","","","113","113","113","75.4937515258789","75.4937515258789","75.4937515258789"
"4789","","","","","","","91","91","91","79.34081268310547","79.34081268310547","79.34081268310547","","","","","",""
"4804","","","","","","","","","","","","","114","114","114","74.81591033935547","74.81591033935547","74.81591033935547"
"4806","121","121","121","67.80863952636719","67.80863952636719","67.80863952636719","","","","","","","","","","","",""
"4809","","","","","","","","","","","","","114","114","114","72.78113555908203","72.78113555908203","72.78113555908203"
"4817","120","120","120","75.63362884521484","75.63362884521484","75.63362884521484","","","","","","","","","","","",""
"4819","121","121","121","73.88060760498047","73.88060760498047","73.88060760498047","","","","","","","113","113","113","74.1717758178711","74.1717758178711","74.1717758178711"
"4822","","","","","","","91","91","91","81.25942993164062","81.25942993164062","81.25942993164062","","","","","",""
"4825","122","122","122","72.87367248535156","72.87367248535156","72.87367248535156","","","","","","","","","","","",""
"4827","","","","","","","90","90","90","79.4315185546875","79.4315185546875","79.4315185546875","","","","","",""
"4831","124","124","124","67.00131225585938","67.00131225585938","67.00131225585938","","","","","","","","","","","",""
"4836","","","","","","","91","91","91","83.29762268066406","83.29762268066406","83.29762268066406","","","","","",""
"4838","","","","","","","91","91","91","82.81736755371094","82.81736755371094","82.81736755371094","114","114","114","76.08650207519531","76.08650207519531","76.08650207519531"
"4842","","","","","","","","","","","","","114","114","114","73.78040313720703","73.78040313720703","73.78040313720703"
"4861","","","","","","","92","92","92","80.73841857910156","80.73841857910156","80.73841857910156","","","","","",""
"4863","","","","","","","","","","","","","115","115","115","77.29512786865234","77.29512786865234","77.29512786865234"
"4869","122","122","122","75.83418273925781","75.83418273925781","75.83418273925781","","","","","","","115","115","115","74.65117645263672","74.65117645263672","74.65117645263672"
"4870","121","121","121","73.99097442626953","73.99097442626953","73.99097442626953","","","","","","","","","","","",""
"4881","122","122","122","69.80424499511719","69.80424499511719","69.80424499511719","","","","","","","","","","","",""
"4888","","","","","","","","","","","","","114","114","114","73.22293853759766","73.22293853759766","73.22293853759766"
"4890","123","123","123","74.93739318847656","74.93739318847656","74.93739318847656","92","92","92","80.70770263671875","80.70770263671875","80.70770263671875","","","","","",""
"4898","","","","","","","","","","","","","115","115","115","77.95448303222656","77.95448303222656","77.95448303222656"
"4899","","","","","","","91","91","91","82.38373565673828","82.38373565673828","82.38373565673828","","","","","",""
"4904","125","125","125","68.3371353149414","68.3371353149414","68.3371353149414","","","","","","","","","","","",""
"4909","","","","","","","92","92","92","81.30011749267578","80.90624237060547","81.6939926147461","","","","","",""
"4910","","","","","","","","","","","","","115","115","115","74.81270599365234","74.81270599365234","74.81270599365234"
"4925","","","","","","","","","","","","","116","116","116","77.25853729248047","77.25853729248047","77.25853729248047"
"4928","123","123","123","73.91512298583984","73.91512298583984","73.91512298583984","","","","","","","","","","","",""
"4930","","","","","","","93","93","93","82.0901870727539","82.0901870727539","82.0901870727539","","","","","",""
"4934","122","122","122","71.77643585205078","71.77643585205078","71.77643585205078","","","","","","","","","","","",""
"4942","","","","","","","","","","","","","116","116","116","72.62046813964844","72.62046813964844","72.62046813964844"
"4948","124","124","124","72.81172943115234","72.81172943115234","72.81172943115234","","","","","","","","","","","",""
"4954","123","123","123","68.43387603759766","68.43387603759766","68.43387603759766","","","","","","","","","","","",""
"4958","","","","","","","","","","","","","115","115","115","72.88372039794922","72.88372039794922","72.88372039794922"
"4962","","","","","","","93","93","93","82.42464447021484","82.42464447021484","82.42464447021484","","","","","",""
"4969","","","","","","","92","92","92","78.74891662597656","78.74891662597656","78.74891662597656","","","","","",""
"4971","","","","","","","","","","","","","116","116","116","74.27288818359375","74.27288818359375","74.27288818359375"
"4982","125","124","126","70.41127014160156","66.93575286865234","73.88678741455078","93","93","93","78.10721588134766","78.10721588134766","78.10721588134766","","","","","",""
"4985","","","","","","","93","93","93","78.86701202392578","78.86701202392578","78.86701202392578","","","","","",""
"4989","","","","","","","","","","","","","117","117","117","74.91011810302734","74.91011810302734","74.91011810302734"
"4995","","","","","","","","","","","","","116","116","116","66.69438934326172","66.69438934326172","66.69438934326172"
"5003","","","","","","","94","94","94","79.33513641357422","79.33513641357422","79.33513641357422","","","","","",""
"5008","123","123","123","69.0008544921875","69.0008544921875","69.0008544921875","","","","","","","","","","","",""
"5011","125","125","125","72.13365173339844","72.13365173339844","72.13365173339844","","","","","","","","","","","",""
"5016","","","","","","","","","","","","","117","117","117","70.57345581054688","70.57345581054688","70.57345581054688"
"5021","124","124","124","70.75569915771484","70.75569915771484","70.75569915771484","","","","","","","","","","","",""
"5033","125","125","125","74.39322662353516","74.39322662353516","74.39322662353516","","","","","","","","","","","",""
"5034","","","","","","","94","94","94","79.44705963134766","79.44705963134766","79.44705963134766","","","","","",""
"5036","","","","","","","93","93","93","82.19549560546875","82.19549560546875","82.19549560546875","116","116","116","70.56558227539062","70.56558227539062","70.56558227539062"
"5042","","","","","","","","","","","","","117","117","117","72.14263916015625","72.14263916015625","72.14263916015625"
"5051","","","","","","","94","94","94","81.36209869384766","81.36209869384766","81.36209869384766","","","","","",""
"5057","","","","","","","94","94","94","81.45345306396484","81.45345306396484","81.45345306396484","","","","","",""
"5058","","","","","","","","","","","","","118","118","118","75.70694732666016","75.70694732666016","75.70694732666016"
"5059","127","127","127","66.38774108886719","66.38774108886719","66.38774108886719","","","","","","","","","","","",""
"5070","","","","","","","95","95","95","81.35740661621094","81.35740661621094","81.35740661621094","","","","","",""
"5075","126","126","126","72.58489990234375","72.58489990234375","72.58489990234375","","","","","","","","","","","",""
"5081","","","","","","","","","","","","","117","117","117","67.80670166015625","67.80670166015625","67.80670166015625"
"5087","124","124","124","67.65396118164062","67.65396118164062","67.65396118164062","","","","","","","","","","","",""
"5090","125","125","125","68.956787109375","68.956787109375","68.956787109375","","","","","","","","","","","",""
"5091","126","126","126","73.65901184082031","73.65901184082031","73.65901184082031","","","","","","","","","","","",""
"5105","","","","","","","","","","","","","118","118","118","65.31012725830078","65.31012725830078","65.31012725830078"
"5107","","","","","","","94.5","94","95","79.01073455810547","78.93980407714844","79.0816650390625","","","","","",""
