"ray/tune/custom_metrics/real_step_mean","exp_name: guardrails_vanilla - _step","exp_name: guardrails_vanilla - _step__MIN","exp_name: guardrails_vanilla - _step__MAX","exp_name: guardrails_vanilla - ray/tune/custom_metrics/energy_cost_mean","exp_name: guardrails_vanilla - ray/tune/custom_metrics/energy_cost_mean__MIN","exp_name: guardrails_vanilla - ray/tune/custom_metrics/energy_cost_mean__MAX","exp_name: guardrails_nn4 - _step","exp_name: guardrails_nn4 - _step__MIN","exp_name: guardrails_nn4 - _step__MAX","exp_name: guardrails_nn4 - ray/tune/custom_metrics/energy_cost_mean","exp_name: guardrails_nn4 - ray/tune/custom_metrics/energy_cost_mean__MIN","exp_name: guardrails_nn4 - ray/tune/custom_metrics/energy_cost_mean__MAX"
"2.619999885559082","","","","","","","0","0","0","106.60911560058594","106.60911560058594","106.60911560058594"
"6.179999828338623","","","","","","","1","1","1","112.55152130126953","112.55152130126953","112.55152130126953"
"8.760000228881836","","","","","","","2","2","2","111.38726043701172","111.38726043701172","111.38726043701172"
"11","","","","","","","3.5","3","4","112.46128845214844","112.25777435302734","112.66480255126953"
"11.630000114440918","","","","","","","5","5","5","113.00138092041016","113.00138092041016","113.00138092041016"
"13","","","","","","","6","6","6","113.82969665527344","113.82969665527344","113.82969665527344"
"13.4399995803833","","","","","","","7","7","7","114.62818908691406","114.62818908691406","114.62818908691406"
"16.149999618530273","","","","","","","8","8","8","110.00857543945312","110.00857543945312","110.00857543945312"
"17.850000381469727","","","","","","","9","9","9","114.00928497314453","114.00928497314453","114.00928497314453"
"19.950000762939453","","","","","","","10","10","10","111.9897232055664","111.9897232055664","111.9897232055664"
"21.93000030517578","","","","","","","11","11","11","103.99720001220703","103.99720001220703","103.99720001220703"
"26.219999313354492","","","","","","","12","12","12","102.38653564453125","102.38653564453125","102.38653564453125"
"27.979999542236328","","","","","","","13","13","13","108.21688842773438","108.21688842773438","108.21688842773438"
"28.65999984741211","","","","","","","14","14","14","104.6494369506836","104.6494369506836","104.6494369506836"
"30.790000915527344","","","","","","","15","15","15","108.93114471435547","108.93114471435547","108.93114471435547"
"33.58000183105469","","","","","","","16","16","16","108.33576965332031","108.33576965332031","108.33576965332031"
"35.41999816894531","","","","","","","17","17","17","108.83639526367188","108.83639526367188","108.83639526367188"
"37.68000030517578","","","","","","","18","18","18","107.07479095458984","107.07479095458984","107.07479095458984"
"40.959999084472656","","","","","","","19","19","19","110.63545227050781","110.63545227050781","110.63545227050781"
"44.720001220703125","","","","","","","20","20","20","107.71336364746094","107.71336364746094","107.71336364746094"
"47.9900016784668","","","","","","","21","21","21","106.62664794921875","106.62664794921875","106.62664794921875"
"49.7599983215332","","","","","","","22","22","22","106.5656509399414","106.5656509399414","106.5656509399414"
"50.494998931884766","0","0","0","113.8876953125","113.8876953125","113.8876953125","","","","","",""
"52.33000183105469","","","","","","","23","23","23","105.05448150634766","105.05448150634766","105.05448150634766"
"54.9900016784668","","","","","","","24","24","24","104.79957580566406","104.79957580566406","104.79957580566406"
"56.310001373291016","","","","","","","25","25","25","108.14942169189453","108.14942169189453","108.14942169189453"
"58.290000915527344","","","","","","","26","26","26","109.84840393066406","109.84840393066406","109.84840393066406"
"65.54000091552734","","","","","","","27","27","27","105.55252075195312","105.55252075195312","105.55252075195312"
"68.12000274658203","","","","","","","28","28","28","108.59362030029297","108.59362030029297","108.59362030029297"
"72.81999969482422","","","","","","","29","29","29","108.64604949951172","108.64604949951172","108.64604949951172"
"74.19999694824219","","","","","","","30","30","30","109.07957458496094","109.07957458496094","109.07957458496094"
"77.61000061035156","","","","","","","31","31","31","106.24977111816406","106.24977111816406","106.24977111816406"
"81.7699966430664","","","","","","","32","32","32","108.17053985595703","108.17053985595703","108.17053985595703"
"86.62999725341797","","","","","","","33","33","33","102.97199249267578","102.97199249267578","102.97199249267578"
"92.93000030517578","","","","","","","34","34","34","104.55168151855469","104.55168151855469","104.55168151855469"
"96.3499984741211","","","","","","","35","35","35","105.44170379638672","105.44170379638672","105.44170379638672"
"100.87999725341797","","","","","","","36","36","36","106.47679901123047","106.47679901123047","106.47679901123047"
"103.47000122070312","","","","","","","37","37","37","105.79304504394531","105.79304504394531","105.79304504394531"
"106.69999694824219","","","","","","","38","38","38","106.8439712524414","106.8439712524414","106.8439712524414"
"108.30000305175781","","","","","","","39","39","39","108.41646575927734","108.41646575927734","108.41646575927734"
"111.61000061035156","","","","","","","40","40","40","102.908203125","102.908203125","102.908203125"
"114.37999725341797","","","","","","","41","41","41","105.49333190917969","105.49333190917969","105.49333190917969"
"116.72000122070312","","","","","","","42","42","42","105.89535522460938","105.89535522460938","105.89535522460938"
"117.08000183105469","","","","","","","43","43","43","107.2370834350586","107.2370834350586","107.2370834350586"
"119.91000366210938","","","","","","","44","44","44","103.88206481933594","103.88206481933594","103.88206481933594"
"123.12999725341797","","","","","","","45","45","45","102.52632141113281","102.52632141113281","102.52632141113281"
"129.22999572753906","","","","","","","46","46","46","101.76750946044922","101.76750946044922","101.76750946044922"
"133.39999389648438","","","","","","","47","47","47","104.17418670654297","104.17418670654297","104.17418670654297"
"136.13999938964844","","","","","","","48","48","48","104.37196350097656","104.37196350097656","104.37196350097656"
"139.80999755859375","","","","","","","49","49","49","102.48970031738281","102.48970031738281","102.48970031738281"
"143.67999267578125","","","","","","","50","50","50","100.68518829345703","100.68518829345703","100.68518829345703"
"145.27000427246094","","","","","","","51","51","51","100.97496795654297","100.97496795654297","100.97496795654297"
